ID,Gender,Position,Hititng,Passing,Setting,Serving,Blocking,Serve Receive,Tip Coverage,Effort,Discipline
1,M,Hitter,9,7,7,7,9,7,6,7,8
2,F,Passer,7,9,6,9,5,9,9,9,9
3,F,Passer,5,8,4,8,5,8,8,7,9
4,F,Setter,6,7,9,9,6,7,5,5,9
5,M,Setter,6,7,6,6,7,7,6,8,7
6,F,Setter,7,7,8,8,6,7,5,7,8
7,F,Hitter,8,7,6,7,6,8,8,7,9
8,F,Passer,3,5,3,3,3,5,4,5,6
9,F,Hitter,6,6,4,7,6,6,5,6,5
10,F,Passer,3,4,3,5,3,5,4,4,7
11,M,Hitter,5,5,3,5,8,5,5,6,2
12,M,Hitter,6,5,3,5,6,4,5,10,4
13,M,Hitter,9,6,5,7,8,6,5,7,6
14,M,Hitter,8,6,5,7,8,7,6,7,7
15,F,Passer,5,6,6,5,5,6,4,5,7
16,M,Hitter,7,6,3,6,8,7,6,7,6
17,M,Hitter,6,2,2,3,5,2,2,6,2
18,M,Setter,6,5,6,5,6,3,4,4,4
19,M,Hitter,6,4,4,4,6,4,4,6,5
20,F,Passer,4,4,5,5,3,4,2,3,6
21,F,Passer,4,4,4,5,3,5,4,6,6
22,M,Setter,6,6,6,8,7,5,4,4,7
23,M,Hitter,4,3,3,3,3,2,2,2,2
24,M,Hitter,8,6,7,6,6,7,6,7,7